,filename,label
18440,UC166P127ThinF_IMG_20151117_193235_cell_30.png,1
8045,PC33P1thinF_IMG_20150619_121435a_cell_173.png,0
11517,PC78P39ThinF_IMG_20150606_104106_cell_174.png,0
6481,PC182P143NThinF_IMG_20151201_171836_cell_165.png,0
11219,PC70P31_ThinF_IMG_20150813_131924_cell_2.png,0
21632,UC222ThinF_IMG_20151115_151015_cell_190.png,1
11656,PC80P41ThinF_IMG_20150817_111121_cell_160.png,0
8859,PC46P7ThinF_IMG_20151130_210309_cell_157.png,0
3457,PC136P97ThinF_IMG_20151005_140538_cell_98.png,0
800,PC116P77ThinF_IMG_20150930_171448_cell_128.png,0
6045,PC180P141NThinF_IMG_20151201_165453_cell_46.png,0
1354,PC118P79ThinF_IMG_20151002_105827_cell_140.png,0
23647,UC47P8thinOriginalOlympusCX21_IMG_20150717_174844_cell_56.png,1
11553,PC80P41ThinF_IMG_20150817_110348_cell_128.png,0
5700,PC179P140ThinF_IMG_20151127_153420_cell_174.png,0
19288,UC178P139NThinF_IMG_20151201_154025_cell_63.png,1
4660,PC158P119ThinF_IMG_20151115_181859_cell_197.png,0
9398,PC51AP12thinF_IMG_20150724_155557_cell_76.png,0
7530,PC184P145ThinF_IMG_20151203_104153_cell_178.png,0
16964,UC144P105ThinF_IMG_20151015_160529_cell_112.png,1
18970,UC173P134NThinF_IMG_20151130_125501_cell_112.png,1
14445,UC109P70ThinF_IMG_20150930_103214_cell_54.png,1
22201,UC230ThinF_IMG_20151112_150753_cell_29.png,1
22146,UC230ThinF_IMG_20151112_150329_cell_40.png,1
3701,PC136P97ThinF_IMG_20151005_144449_cell_2.png,0
10278,PC64P25N_ThinF_IMG_20150818_152455_cell_174.png,0
9767,PC59P20thinF_IMG_20150803_112858_cell_184.png,0
2251,PC129P90ThinF_IMG_20151004_134520_cell_106.png,0
3805,PC137P98ThinF_IMG_20151005_160256_cell_61.png,0
7827,PC188P149ThinF_IMG_20151203_134319_cell_189.png,0
19813,UC186P147NThinF_IMG_20151203_150222_cell_130.png,1
10436,PC67P28N_ThinF_IMG_20150819_121456_cell_255.png,0
3990,PC137P98ThinF_IMG_20151005_163251_cell_62.png,0
1124,PC116P77ThinF_IMG_20150930_172112_cell_77.png,0
8655,PC39P4thinF_original_IMG_20150622_114804_cell_20.png,0
15323,UC122P83ThinF_IMG_20151002_145330_cell_41.png,1
17035,UC145P106ThinF_IMG_20151016_154719_cell_81.png,1
14435,UC109P70ThinF_IMG_20150930_103113_cell_27.png,1
22097,UC229ThinF_IMG_20151112_144534_cell_127.png,1
13756,PC99P60ThinF_IMG_20150918_142334_cell_32.png,0
7309,PC184P145ThinF_IMG_20151203_103326_cell_126.png,0
8876,PC46P7ThinF_IMG_20151130_210743_cell_161.png,0
24493,UC58P19thinF_IMG_20150802_122338_cell_49.png,1
4399,PC146P107ThinF_IMG_20151018_135846_cell_221.png,0
19237,UC177P138NThinF_IMG_20151201_143546_cell_56.png,1
24940,UC63P24N_ThinF_IMG_20150818_143757_cell_88.png,1
22859,UC240ThinF_IMG_20151127_115328_cell_16.png,1
22837,UC240ThinF_IMG_20151127_115247_cell_234.png,1
21803,UC225ThinF_IMG_20151112_113735_cell_201.png,1
13191,PC98P59ThinF_IMG_20150917_153600_cell_188.png,0
3868,PC137P98ThinF_IMG_20151005_161449_cell_4.png,0
13118,PC97P58ThinF_IMG_20150917_152032_cell_168.png,0
25141,UC66P27N_ThinF_IMG_20150818_164702_cell_70.png,1
2795,PC132P93ThinF_IMG_20151004_152045_cell_160.png,0
19575,UC182P143NThinF_IMG_20151201_172216_cell_58.png,1
26406,UC83P44ThinF_IMG_20150817_133355_cell_147.png,1
25804,UC75P36_ThinF_IMG_20150815_163015_cell_22.png,1
15274,UC121P82ThinF_IMG_20151002_134953_cell_5.png,1
2077,PC129P90ThinF_IMG_20151004_133244_cell_96.png,0
27387,UC97P58ThinF_IMG_20150917_151437_cell_63.png,1
25659,UC73P34_ThinF_IMG_20150815_111114_cell_77.png,1
18953,UC173P134NThinF_IMG_20151130_120046_cell_8.png,1
3668,PC136P97ThinF_IMG_20151005_143743_cell_108.png,0
2501,PC131P92ThinF_IMG_20151004_145410_cell_128.png,0
22022,UC228ThinF_IMG_20151112_142216_cell_248.png,1
23563,UC46P7ThinF_IMG_20151130_210743_cell_3.png,1
14455,UC109P70ThinF_IMG_20150930_103645_cell_76.png,1
14582,UC111P72ThinF_IMG_20150930_113049_cell_37.png,1
23181,UC38P3thinF_original_IMG_20150621_112043_cell_151.png,1
13643,PC99P60ThinF_IMG_20150918_141857_cell_21.png,0
9574,PC59P20thinF_IMG_20150803_111244_cell_206.png,0
17361,UC150P111ThinF_IMG_20151115_115805_cell_56.png,1
9313,PC50P11thinF_IMG_20150724_120716_cell_152.png,0
6452,PC181P142ThinF_IMG_20151127_160650_cell_190.png,0
20651,UC208ThinF_IMG_20151029_155411_cell_40.png,1
26135,UC7NthinF_IMG_20150611_104404_cell_194.png,1
11546,PC80P41ThinF_IMG_20150817_110348_cell_121.png,0
3540,PC136P97ThinF_IMG_20151005_141803_cell_124.png,0
25783,UC74P35_ThinF_IMG_20150815_121324_cell_114.png,1
11746,PC80P41ThinF_IMG_20150817_111943_cell_22.png,0
15166,UC120P81ThinF_IMG_20151002_130407_cell_111.png,1
14642,UC112P73ThinF_IMG_20150930_131659_cell_125.png,1
2596,PC132P93ThinF_IMG_20151004_151733_cell_141.png,0
25663,UC73P34_ThinF_IMG_20150815_111302_cell_127.png,1
26720,UC87P48ThinF_IMG_20150820_144714_cell_195.png,1
4408,PC146P107ThinF_IMG_20151018_140342_cell_250.png,0
26000,UC78P39ThinF_IMG_20150606_103413_cell_82.png,1
9763,PC59P20thinF_IMG_20150803_112858_cell_180.png,0
20823,UC210ThinF_IMG_20151029_162834_cell_56.png,1
17917,UC158P119ThinF_IMG_20151115_181436_cell_118.png,1
10669,PC68P29N_ThinF_IMG_20150819_133447_cell_169.png,0
3763,PC137P98ThinF_IMG_20151005_155444_cell_93.png,0
748,PC116P77ThinF_IMG_20150930_171219_cell_76.png,0
5584,PC176P137NThinF_IMG_20151201_122811_cell_139.png,0
15018,UC118P79ThinF_IMG_20151002_105018_cell_114.png,1
22031,UC228ThinF_IMG_20151112_142452_cell_229.png,1
6417,PC181P142ThinF_IMG_20151127_160616_cell_158.png,0
8211,PC39P4thinF_original_IMG_20150622_105803_cell_99.png,0
11526,PC78P39ThinF_IMG_20150606_104936_cell_174.png,0
20995,UC213ThinF_IMG_20151106_112422_cell_147.png,1
7365,PC184P145ThinF_IMG_20151203_103637_cell_160.png,0
2826,PC132P93ThinF_IMG_20151004_152257_cell_132.png,0
1846,PC125P86ThinF_IMG_20151004_102053_cell_150.png,0
16553,UC139P100ThinF_IMG_20151005_182527_cell_75.png,1
17166,UC147P108ThinF_IMG_20151115_092900_cell_36.png,1
11456,PC76P37ThinF_IMG_20150815_173019_cell_227.png,0
13362,PC99P60ThinF_IMG_20150918_141129_cell_119.png,0
14160,UC105P66ThinF_IMG_20150924_095633_cell_106.png,1
27465,UC98P59ThinF_IMG_20150917_153938_cell_165.png,1
25427,UC6NThinF_IMG_20150609_122832_cell_184.png,1
10319,PC66P27N_ThinF_IMG_20150818_163419_cell_202.png,0
24420,UC57P18thinF_IMG_20150729_110134_cell_203.png,1
6719,PC182P143NThinF_IMG_20151201_172216_cell_176.png,0
2902,PC132P93ThinF_IMG_20151004_152353_cell_184.png,0
24029,UC51AP12thinF_IMG_20150724_155947_cell_5.png,1
1366,PC118P79ThinF_IMG_20151002_105827_cell_152.png,0
9939,PC59P20thinF_IMG_20150803_113430_cell_7.png,0
14912,UC116P77ThinF_IMG_20150930_171844_cell_34.png,1
6474,PC182P143NThinF_IMG_20151201_171836_cell_158.png,0
214,PC101P62ThinF_IMG_20150918_151942_cell_84.png,0
20507,UC206ThinF_IMG_20151029_140511_cell_81.png,1
12341,PC84P45ThinF_IMG_20150818_104849_cell_1.png,0
27095,UC93P54ThinF_IMG_20150821_162901_cell_147.png,1
27422,UC98P59ThinF_IMG_20150917_153030_cell_136.png,1
3551,PC136P97ThinF_IMG_20151005_141946_cell_100.png,0
896,PC116P77ThinF_IMG_20150930_171635_cell_111.png,0
6369,PC181P142ThinF_IMG_20151127_160434_cell_176.png,0
26034,UC78P39ThinF_IMG_20150606_104106_cell_71.png,1
2467,PC130P91ThinF_IMG_20151004_142951_cell_148.png,0
